120,1e-011,6.46598,0.0649991,3528.7
134,1e-011,6.3716,0.0625333,3344.23
148,1e-011,6.64934,0.0698046,4330.74
164,1e-011,6.79107,0.0663414,3966.52
180,1e-011,7.04593,0.0720934,6720.63
196,1e-011,7.17927,0.0676533,4924.1
214,1e-011,6.64987,0.0682218,5515.68
232,1e-011,6.68957,0.0685006,4220.51
252,1e-011,6.6564,0.0712617,4909.34
272,1e-011,6.63828,0.065856,4197.89
292,1e-011,6.47346,0.0670527,5081.05
314,1e-011,6.16447,0.0628968,4597.92
336,1e-011,6.74204,0.0688925,4815.43
360,1e-011,6.69117,0.0702936,4294.52
384,1e-011,6.23183,0.0690094,5825.12
490,1e-011,5.92025,0.0649391,5334.01
528,1e-011,5.72072,0.0597926,2511.74
544,1e-011,5.87343,0.0650713,3956.56
564,1e-011,6.31931,0.0671214,5213.25
580,1e-011,5.25714,0.0793533,14295.2
602,1e-011,5.24483,0.0876832,16969.7
120,1e-011,5.99107,0.0620279,3271.72
134,1e-011,6.75498,0.0673893,4164.35
148,1e-011,6.87549,0.0688734,5113.04
164,1e-011,6.25693,0.0637534,3102.27
180,1e-011,6.75706,0.0669225,4959.4
196,1e-011,6.96479,0.0709441,5865.44
214,1e-011,6.72544,0.071167,6035.4
232,1e-011,6.48257,0.0654084,5382.92
252,1e-011,6.7179,0.0683999,6540.03
272,1e-011,6.70185,0.067901,5304.27
292,1e-011,6.51396,0.0660085,5063.44
314,1e-011,6.06011,0.0633688,4862.92
336,1e-011,6.19115,0.0654809,5246.34
360,1e-011,5.96453,0.0632487,3258.27
384,1e-011,5.82063,0.0630243,3236.34
490,1e-011,5.70291,0.054612,2494.28
528,1e-011,5.98443,0.0571673,3679.23
544,1e-011,6.02949,0.0630838,6408.38
564,1e-011,5.86779,0.0633945,3790.9
580,1e-011,4.77826,0.0716997,15354.8
602,1e-011,5.23608,0.0761332,21472.2
